No,File Name,Relative Path,Purpose
1,login_screen.dart,lib/app/auth_screen/login_screen.dart,Login UI
2,otp_screen.dart,lib/app/auth_screen/otp_screen.dart,OTP verification UI
3,phone_number_screen.dart,lib/app/auth_screen/phone_number_screen.dart,Phone number input UI
4,signup_screen.dart,lib/app/auth_screen/signup_screen.dart,User registration UI
5,login_controller.dart,lib/controllers/login_controller.dart,Login functionality and authentication logic
6,api_service.dart,lib/services/api_service.dart,Backend API service (includes login API)
7,main.dart,lib/main.dart,App entry point and initialization
8,firebase_options.dart,lib/firebase_options.dart,Firebase configuration for Flutter
9,firebase.json,firebase.json,Firebase CLI project configuration
10,google-services.json,android/app/google-services.json,Firebase Android config
11,GoogleService-Info.plist,ios/Runner/GoogleService-Info.plist,Firebase iOS config
12,pubspec.yaml,pubspec.yaml,Flutter and Dart dependencies/config
13,database_helper.dart,lib/services/database_helper.dart,Local database helper
14,cart_provider.dart,lib/services/cart_provider.dart,Cart state management
15,mock_api_service.dart,lib/services/mock_api_service.dart,Mock backend API service for testing
16,color_utils.dart,lib/utils/color_utils.dart,Color utility functions
17,dark_theme_preference.dart,lib/utils/dark_theme_preference.dart,Dark theme preference storage
18,dark_theme_provider.dart,lib/utils/dark_theme_provider.dart,Dark theme state management
19,fire_store_utils.dart,lib/utils/fire_store_utils.dart,Firebase Firestore utility functions
20,network_image_widget.dart,lib/utils/network_image_widget.dart,Network image widget utility
21,notification_service.dart,lib/utils/notification_service.dart,Push notification service
22,preferences.dart,lib/utils/preferences.dart,App preferences utility
23,utils.dart,lib/utils/utils.dart,General utility functions
24,app_them_data.dart,lib/themes/app_them_data.dart,App theme data and colors
25,custom_dialog_box.dart,lib/themes/custom_dialog_box.dart,Custom dialog UI component
26,responsive.dart,lib/themes/responsive.dart,Responsive UI helper
27,round_button_border.dart,lib/themes/round_button_border.dart,UI button style
28,round_button_fill.dart,lib/themes/round_button_fill.dart,UI button style
29,styles.dart,lib/themes/styles.dart,Text and widget styles
30,text_field_widget.dart,lib/themes/text_field_widget.dart,Reusable text field widget
31,splash_screen.dart,lib/app/splash_screen.dart,App splash/loading screen
32,on_boarding_screen.dart,lib/app/on_boarding_screen.dart,Onboarding UI screen
33,widget_test.dart,test/widget_test.dart,Widget test file
34,README.md,README.md,Project documentation
35,analysis_options.yaml,analysis_options.yaml,Static analysis configuration
36,api_keys.txt,api_keys.txt,API keys (if used)
37,key.properties,key.properties,Android signing keys config
38,devtools_options.yaml,devtools_options.yaml,Devtools configuration
39,address_add_controller.dart,lib/controllers/address_add_controller.dart,Add address logic
40,address_list_controller.dart,lib/controllers/address_list_controller.dart,Address list management
41,advertisement_list_controller.dart,lib/controllers/advertisement_list_controller.dart,Advertisement list logic
42,cart_controller.dart,lib/controllers/cart_controller.dart,Cart management and logic
